Name,Team_from,League_from,Team_to,Summer,Transfer_fee,Comb
Luís Figo,FC Barcelona,LaLiga,Real Madrid,2000,60.0,Luís Figo2000
Hernán Crespo,Parma,Serie A,Lazio,2000,56.81,Hernán Crespo2000
Marc Overmars,Arsenal,Premier League,FC Barcelona,2000,40.0,Marc Overmars2000
Gabriel Batistuta,Fiorentina,Serie A,AS Roma,2000,36.15,Gabriel Batistuta2000
Nicolas Anelka,Real Madrid,LaLiga,Paris SG,2000,34.5,Nicolas Anelka2000
Rio Ferdinand,West Ham,Premier League,Leeds,2000,26.0,Rio Ferdinand2000
Flávio Conceicao,Dep. La Coruña,LaLiga,Real Madrid,2000,25.0,Flávio Conceicao2000
Savo Milosevic,Real Zaragoza,LaLiga,Parma,2000,25.0,Savo Milosevic2000
Claudio López,Valencia CF,LaLiga,Lazio,2000,23.0,Claudio López2000
Gerard López,Valencia CF,LaLiga,FC Barcelona,2000,21.6,Gerard López2000
Robbie Keane,Coventry City,Premier League,Inter,2000,19.5,Robbie Keane2000
Tore André Flo,Chelsea,Premier League,Rangers,2000,18.0,Tore André Flo2000
Angelo Peruzzi,Inter,Serie A,Lazio,2000,17.9,Angelo Peruzzi2000
Diego Tristán,RCD Mallorca,LaLiga,Dep. La Coruña,2000,17.75,Diego Tristán2000
Fernando Redondo,Real Madrid,LaLiga,AC Milan,2000,17.5,Fernando Redondo2000
Sérgio Conceição,Lazio,Serie A,Parma,2000,17.0,Sérgio Conceição2000
Francisco Farinós,Valencia CF,LaLiga,Inter,2000,16.25,Francisco Farinós2000
Francis Jeffers,Everton,Premier League,Arsenal,2000,15.3,Francis Jeffers2000
Emmanuel Petit,Arsenal,Premier League,FC Barcelona,2000,15.0,Emmanuel Petit2000
Catanha,Málaga CF,LaLiga,Celta de Vigo,2000,14.42,Catanha2000
Claude Makélélé,Celta de Vigo,LaLiga,Real Madrid,2000,14.0,Claude Makélélé2000
Ugo Ehiogu,Aston Villa,Premier League,Middlesbrough,2000,12.2,Ugo Ehiogu2000
Jesper Grönkjaer,AFC Ajax,Eredivisie,Chelsea,2000,11.85,Jesper Grönkjaer2000
Laurén,RCD Mallorca,LaLiga,Arsenal,2000,10.7,Laurén2000
Pedro Munitis,Racing,LaLiga,Real Madrid,2000,10.5,Pedro Munitis2000
Chris Sutton,Chelsea,Premier League,Celtic,2000,9.5,Chris Sutton2000
Pauleta,Dep. La Coruña,LaLiga,G. Bordeaux,2000,9.1,Pauleta2000
Christian Ziege,Middlesbrough,Premier League,Liverpool,2000,9.0,Christian Ziege2000
Nick Barmby,Everton,Premier League,Liverpool,2000,9.0,Nick Barmby2000
Marc-Vivien Foé,West Ham,Premier League,Olympique Lyon,2000,9.0,Marc-Vivien Foé2000
Christian Karembeu,Real Madrid,LaLiga,Middlesbrough,2000,8.75,Christian Karembeu2000
Neil Lennon,Leicester,Premier League,Celtic,2000,8.63,Neil Lennon2000
Mario Stanic,Parma,Serie A,Chelsea,2000,8.4,Mario Stanic2000
Julio Cruz,Feyenoord,Eredivisie,Bologna,2000,8.2,Julio Cruz2000
Bruno Cirillo,Reggina,Serie A,Inter,2000,7.5,Bruno Cirillo2000
Sunday Oliseh,Juventus,Serie A,Bor. Dortmund,2000,7.5,Sunday Oliseh2000
Dino Baggio,Parma,Serie A,Lazio,2000,7.5,Dino Baggio2000
David Sesa,Lecce,Serie A,SSC Napoli,2000,7.25,David Sesa2000
Bert Konterman,Feyenoord,Eredivisie,Rangers,2000,7.25,Bert Konterman2000
Dominic Matteo,Liverpool,Premier League,Leeds,2000,7.13,Dominic Matteo2000
Pierre van Hooijdonk,Vitesse,Eredivisie,Benfica,2000,6.8,Pierre van Hooijdonk2000
Émerson Thome,Chelsea,Premier League,Sunderland,2000,6.7,Émerson Thome2000
Bob Peeters,Roda JC,Eredivisie,Vitesse,2000,6.3,Bob Peeters2000
César Sánchez,Real Valladolid,LaLiga,Real Madrid,2000,6.25,César Sánchez2000
Alain Goma,Newcastle,Premier League,Fulham,2000,6.0,Alain Goma2000
Frédéric Déhu,FC Barcelona,LaLiga,Paris SG,2000,6.0,Frédéric Déhu2000
Esteban Fuertes,Derby,Premier League,Lens,2000,6.0,Esteban Fuertes2000
Milan Rapaic,Perugia,Serie A,Fenerbahce,2000,6.0,Milan Rapaic2000
Zé Elias,Bologna,Serie A,Olympiacos,2000,5.8,Zé Elias2000
Joos Valgaeren,Roda JC,Eredivisie,Celtic,2000,5.7,Joos Valgaeren2000
Ronald de Boer,FC Barcelona,LaLiga,Rangers,2000,5.5,Ronald de Boer2000
Fernando Ricksen,AZ Alkmaar,Eredivisie,Rangers,2000,5.4,Fernando Ricksen2000
Duncan Ferguson,Newcastle,Premier League,Everton,2000,5.4,Duncan Ferguson2000
Roberto Ayala,AC Milan,Serie A,Valencia CF,2000,5.0,Roberto Ayala2000
Giorgi Kinkladze,AFC Ajax,Eredivisie,Derby,2000,5.0,Giorgi Kinkladze2000
Haim Revivo,Celta de Vigo,LaLiga,Fenerbahce,2000,5.0,Haim Revivo2000
Richard Dunne,Everton,Premier League,Man City,2000,4.5,Richard Dunne2000
David Thompson,Liverpool,Premier League,Coventry City,2000,4.5,David Thompson2000
Alessandro Pistone,Newcastle,Premier League,Everton,2000,4.5,Alessandro Pistone2000
David Johnson,Ipswich,Premier League,Nottm Forest,2000,4.5,David Johnson2000
Kennet Andersson,Bologna,Serie A,Fenerbahce,2000,4.5,Kennet Andersson2000
Alan Thompson,Aston Villa,Premier League,Celtic,2000,4.4,Alan Thompson2000
Rigobert Song,Liverpool,Premier League,West Ham,2000,4.1,Rigobert Song2000
Jörg Heinrich,Fiorentina,Serie A,Bor. Dortmund,2000,4.1,Jörg Heinrich2000
Adrian Mutu,Inter,Serie A,Hellas Verona,2000,4.0,Adrian Mutu2000
Richard Dutruel,Celta de Vigo,LaLiga,FC Barcelona,2000,4.0,Richard Dutruel2000
Zoran Mirkovic,Juventus,Serie A,Fenerbahce,2000,4.0,Zoran Mirkovic2000
Darren Huckerby,Leeds,Premier League,Man City,2000,3.8,Darren Huckerby2000
David Hopkin,Leeds,Premier League,Bradford City,2000,3.75,David Hopkin2000
Alf-Inge Haland,Leeds,Premier League,Man City,2000,3.75,Alf-Inge Haland2000
Steve Watson,Aston Villa,Premier League,Everton,2000,3.75,Steve Watson2000
Don Hutchison,Everton,Premier League,Sunderland,2000,3.75,Don Hutchison2000
Didier Deschamps,Chelsea,Premier League,Valencia CF,2000,3.5,Didier Deschamps2000
Stephen Hughes,Arsenal,Premier League,Everton,2000,3.5,Stephen Hughes2000
Alen Boksic,Lazio,Serie A,Middlesbrough,2000,3.45,Alen Boksic2000
Danny Higginbotham,Man Utd,Premier League,Derby,2000,3.0,Danny Higginbotham2000
Andrew O'Brien,Bradford City,Premier League,Newcastle,2000,3.0,Andrew O'Brien2000
Noel Whelan,Coventry City,Premier League,Middlesbrough,2000,3.0,Noel Whelan2000
Dmitri Alenichev,AS Roma,Serie A,FC Porto,2000,3.0,Dmitri Alenichev2000
John Collins,Everton,Premier League,Fulham,2000,2.75,John Collins2000
Didier Martel,FC Utrecht,Eredivisie,Vitesse,2000,2.75,Didier Martel2000
Tomás Galásek,Willem II,Eredivisie,AFC Ajax,2000,2.7,Tomás Galásek2000
Gabriel Schürrer,Dep. La Coruña,LaLiga,UD Las Palmas,2000,2.7,Gabriel Schürrer2000
Henning Berg,Man Utd,Premier League,Blackburn,2000,2.63,Henning Berg2000
Tim Cornelisse,RKC Waalwijk,Eredivisie,Vitesse,2000,2.5,Tim Cornelisse2000
Cédric Roussel,Coventry City,Premier League,Wolves,2000,2.4,Cédric Roussel2000
Luciano,Bologna,Serie A,Chievo Verona,2000,2.33,Luciano2000
David Hopkin,Bradford City,Premier League,Crystal Palace,2000,2.25,David Hopkin2000
Paul Robinson,Newcastle,Premier League,MK Dons,2000,2.25,Paul Robinson2000
John Curtis,Man Utd,Premier League,Blackburn,2000,2.25,John Curtis2000
Francesc Arnau,FC Barcelona,LaLiga,Málaga CF,2000,2.1,Francesc Arnau2000
Chris Makin,Sunderland,Premier League,Ipswich,2000,2.1,Chris Makin2000
Frank Verlaat,AFC Ajax,Eredivisie,Werder Bremen,2000,2.1,Frank Verlaat2000
David Healy,Man Utd,Premier League,Preston NE,2000,2.0,David Healy2000
Espen Baardsen,Spurs,Premier League,Watford,2000,2.0,Espen Baardsen2000
Slavisa Jokanovic,Dep. La Coruña,LaLiga,Chelsea,2000,1.9,Slavisa Jokanovic2000
José Amavisca,Racing,LaLiga,Dep. La Coruña,2000,1.9,José Amavisca2000
Robin Nelisse,Feyenoord,Eredivisie,AZ Alkmaar,2000,1.8,Robin Nelisse2000
Zinédine Zidane,Juventus,Serie A,Real Madrid,2001,77.5,Zinédine Zidane2001
Gianluigi Buffon,Parma,Serie A,Juventus,2001,52.88,Gianluigi Buffon2001
Gaizka Mendieta,Valencia CF,LaLiga,Lazio,2001,48.0,Gaizka Mendieta2001
Juan Sebastián Verón,Lazio,Serie A,Man Utd,2001,42.6,Juan Sebastián Verón2001
Rui Costa,Fiorentina,Serie A,AC Milan,2001,42.0,Rui Costa2001
Lilian Thuram,Parma,Serie A,Juventus,2001,41.5,Lilian Thuram2001
Pavel Nedved,Lazio,Serie A,Juventus,2001,38.7,Pavel Nedved2001
Filippo Inzaghi,Juventus,Serie A,AC Milan,2001,37.0,Filippo Inzaghi2001
Ruud van Nistelrooy,PSV Eindhoven,Eredivisie,Man Utd,2001,28.5,Ruud van Nistelrooy2001
Hidetoshi Nakata,AS Roma,Serie A,Parma,2001,28.4,Hidetoshi Nakata2001
Francesco Toldo,Fiorentina,Serie A,Inter,2001,26.5,Francesco Toldo2001
Jaap Stam,Man Utd,Premier League,Lazio,2001,25.75,Jaap Stam2001
Márcio Amoroso,Parma,Serie A,Bor. Dortmund,2001,25.5,Márcio Amoroso2001
Stefano Fiore,Udinese Calcio,Serie A,Lazio,2001,25.0,Stefano Fiore2001
Marcelo Salas,Lazio,Serie A,Juventus,2001,25.0,Marcelo Salas2001
Andrea Pirlo,Inter,Serie A,AC Milan,2001,18.0,Andrea Pirlo2001
Sérgio Conceição,Parma,Serie A,Inter,2001,18.0,Sérgio Conceição2001
Robbie Keane,Inter,Serie A,Leeds,2001,18.0,Robbie Keane2001
Sergio,Espanyol,LaLiga,Dep. La Coruña,2001,17.9,Sergio2001
Robbie Fowler,Liverpool,Premier League,Leeds,2001,16.8,Robbie Fowler2001
Frank Lampard,West Ham,Premier League,Chelsea,2001,16.0,Frank Lampard2001
Javi Moreno,Alavés,LaLiga,AC Milan,2001,16.0,Javi Moreno2001
Cristian Zenoni,AC Milan,Serie A,Juventus,2001,15.5,Cristian Zenoni2001
Darko Kovacevic,Juventus,Serie A,Lazio,2001,15.0,Darko Kovacevic2001
Massimo Donati,Atalanta,Serie A,AC Milan,2001,15.0,Massimo Donati2001
Ivan Pelizzoli,Atalanta,Serie A,AS Roma,2001,14.0,Ivan Pelizzoli2001
Andy Cole,Man Utd,Premier League,Blackburn,2001,12.2,Andy Cole2001
Dean Richards,Southampton,Premier League,Spurs,2001,12.15,Dean Richards2001
Simão,FC Barcelona,LaLiga,Benfica,2001,12.0,Simão2001
Seth Johnson,Derby,Premier League,Leeds,2001,11.5,Seth Johnson2001
Emmanuel Petit,FC Barcelona,LaLiga,Chelsea,2001,11.5,Emmanuel Petit2001
Cristiano Zanetti,AS Roma,Serie A,Inter,2001,11.0,Cristiano Zanetti2001
Mario Turdó,Celta de Vigo,LaLiga,Stade Rennais,2001,10.82,Mario Turdó2001
Marco Materazzi,Perugia,Serie A,Inter,2001,10.5,Marco Materazzi2001
Edwin van der Sar,Juventus,Serie A,Fulham,2001,10.3,Edwin van der Sar2001
Gareth Southgate,Aston Villa,Premier League,Middlesbrough,2001,9.75,Gareth Southgate2001
Michael Ball,Everton,Premier League,Rangers,2001,9.75,Michael Ball2001
Martin Laursen,Hellas Verona,Serie A,Parma,2001,9.3,Martin Laursen2001
Richard Wright,Ipswich,Premier League,Arsenal,2001,9.0,Richard Wright2001
Flavio Roma,Piacenza,Serie A,Monaco,2001,8.5,Flavio Roma2001
