Name,Team_from,League_from,Team_to,Season,Transfer_fee
Luís Figo,FC Barcelona,LaLiga,Real Madrid,2000-2001,60.0
Hernán Crespo,Parma,Serie A,Lazio,2000-2001,56.81
Marc Overmars,Arsenal,Premier League,FC Barcelona,2000-2001,40.0
Gabriel Batistuta,Fiorentina,Serie A,AS Roma,2000-2001,36.15
Nicolas Anelka,Real Madrid,LaLiga,Paris SG,2000-2001,34.5
Rio Ferdinand,West Ham,Premier League,Leeds,2000-2001,26.0
Flávio Conceicao,Dep. La Coruña,LaLiga,Real Madrid,2000-2001,25.0
Savo Milosevic,Real Zaragoza,LaLiga,Parma,2000-2001,25.0
Claudio López,Valencia CF,LaLiga,Lazio,2000-2001,23.0
Gerard López,Valencia CF,LaLiga,FC Barcelona,2000-2001,21.6
Robbie Keane,Coventry City,Premier League,Inter,2000-2001,19.5
Tore André Flo,Chelsea,Premier League,Rangers,2000-2001,18.0
Angelo Peruzzi,Inter,Serie A,Lazio,2000-2001,17.9
Diego Tristán,RCD Mallorca,LaLiga,Dep. La Coruña,2000-2001,17.75
Fernando Redondo,Real Madrid,LaLiga,AC Milan,2000-2001,17.5
Sérgio Conceição,Lazio,Serie A,Parma,2000-2001,17.0
Francisco Farinós,Valencia CF,LaLiga,Inter,2000-2001,16.25
Francis Jeffers,Everton,Premier League,Arsenal,2000-2001,15.3
Emmanuel Petit,Arsenal,Premier League,FC Barcelona,2000-2001,15.0
Catanha,Málaga CF,LaLiga,Celta de Vigo,2000-2001,14.42
Claude Makélélé,Celta de Vigo,LaLiga,Real Madrid,2000-2001,14.0
Ugo Ehiogu,Aston Villa,Premier League,Middlesbrough,2000-2001,12.2
Jesper Grönkjaer,AFC Ajax,Eredivisie,Chelsea,2000-2001,11.85
Laurén,RCD Mallorca,LaLiga,Arsenal,2000-2001,10.7
Pedro Munitis,Racing,LaLiga,Real Madrid,2000-2001,10.5
Chris Sutton,Chelsea,Premier League,Celtic,2000-2001,9.5
Pauleta,Dep. La Coruña,LaLiga,G. Bordeaux,2000-2001,9.1
Christian Ziege,Middlesbrough,Premier League,Liverpool,2000-2001,9.0
Nick Barmby,Everton,Premier League,Liverpool,2000-2001,9.0
Marc-Vivien Foé,West Ham,Premier League,Olympique Lyon,2000-2001,9.0
Christian Karembeu,Real Madrid,LaLiga,Middlesbrough,2000-2001,8.75
Neil Lennon,Leicester,Premier League,Celtic,2000-2001,8.63
Mario Stanic,Parma,Serie A,Chelsea,2000-2001,8.4
Julio Cruz,Feyenoord,Eredivisie,Bologna,2000-2001,8.2
Bruno Cirillo,Reggina,Serie A,Inter,2000-2001,7.5
Sunday Oliseh,Juventus,Serie A,Bor. Dortmund,2000-2001,7.5
Dino Baggio,Parma,Serie A,Lazio,2000-2001,7.5
David Sesa,Lecce,Serie A,SSC Napoli,2000-2001,7.25
Bert Konterman,Feyenoord,Eredivisie,Rangers,2000-2001,7.25
Dominic Matteo,Liverpool,Premier League,Leeds,2000-2001,7.13
Pierre van Hooijdonk,Vitesse,Eredivisie,Benfica,2000-2001,6.8
Émerson Thome,Chelsea,Premier League,Sunderland,2000-2001,6.7
Bob Peeters,Roda JC,Eredivisie,Vitesse,2000-2001,6.3
César Sánchez,Real Valladolid,LaLiga,Real Madrid,2000-2001,6.25
Alain Goma,Newcastle,Premier League,Fulham,2000-2001,6.0
Frédéric Déhu,FC Barcelona,LaLiga,Paris SG,2000-2001,6.0
Esteban Fuertes,Derby,Premier League,Lens,2000-2001,6.0
Milan Rapaic,Perugia,Serie A,Fenerbahce,2000-2001,6.0
Zé Elias,Bologna,Serie A,Olympiacos,2000-2001,5.8
Joos Valgaeren,Roda JC,Eredivisie,Celtic,2000-2001,5.7
Ronald de Boer,FC Barcelona,LaLiga,Rangers,2000-2001,5.5
Fernando Ricksen,AZ Alkmaar,Eredivisie,Rangers,2000-2001,5.4
Duncan Ferguson,Newcastle,Premier League,Everton,2000-2001,5.4
Roberto Ayala,AC Milan,Serie A,Valencia CF,2000-2001,5.0
Giorgi Kinkladze,AFC Ajax,Eredivisie,Derby,2000-2001,5.0
Haim Revivo,Celta de Vigo,LaLiga,Fenerbahce,2000-2001,5.0
Richard Dunne,Everton,Premier League,Man City,2000-2001,4.5
David Thompson,Liverpool,Premier League,Coventry City,2000-2001,4.5
Alessandro Pistone,Newcastle,Premier League,Everton,2000-2001,4.5
David Johnson,Ipswich,Premier League,Nottm Forest,2000-2001,4.5
Kennet Andersson,Bologna,Serie A,Fenerbahce,2000-2001,4.5
Alan Thompson,Aston Villa,Premier League,Celtic,2000-2001,4.4
Rigobert Song,Liverpool,Premier League,West Ham,2000-2001,4.1
Jörg Heinrich,Fiorentina,Serie A,Bor. Dortmund,2000-2001,4.1
Adrian Mutu,Inter,Serie A,Hellas Verona,2000-2001,4.0
Richard Dutruel,Celta de Vigo,LaLiga,FC Barcelona,2000-2001,4.0
Zoran Mirkovic,Juventus,Serie A,Fenerbahce,2000-2001,4.0
Darren Huckerby,Leeds,Premier League,Man City,2000-2001,3.8
David Hopkin,Leeds,Premier League,Bradford City,2000-2001,3.75
Alf-Inge Haland,Leeds,Premier League,Man City,2000-2001,3.75
Steve Watson,Aston Villa,Premier League,Everton,2000-2001,3.75
Don Hutchison,Everton,Premier League,Sunderland,2000-2001,3.75
Didier Deschamps,Chelsea,Premier League,Valencia CF,2000-2001,3.5
Stephen Hughes,Arsenal,Premier League,Everton,2000-2001,3.5
Alen Boksic,Lazio,Serie A,Middlesbrough,2000-2001,3.45
Danny Higginbotham,Man Utd,Premier League,Derby,2000-2001,3.0
Andrew O'Brien,Bradford City,Premier League,Newcastle,2000-2001,3.0
Noel Whelan,Coventry City,Premier League,Middlesbrough,2000-2001,3.0
Dmitri Alenichev,AS Roma,Serie A,FC Porto,2000-2001,3.0
John Collins,Everton,Premier League,Fulham,2000-2001,2.75
Didier Martel,FC Utrecht,Eredivisie,Vitesse,2000-2001,2.75
Tomás Galásek,Willem II,Eredivisie,AFC Ajax,2000-2001,2.7
Gabriel Schürrer,Dep. La Coruña,LaLiga,UD Las Palmas,2000-2001,2.7
Henning Berg,Man Utd,Premier League,Blackburn,2000-2001,2.63
Tim Cornelisse,RKC Waalwijk,Eredivisie,Vitesse,2000-2001,2.5
Cédric Roussel,Coventry City,Premier League,Wolves,2000-2001,2.4
Luciano,Bologna,Serie A,Chievo Verona,2000-2001,2.33
David Hopkin,Bradford City,Premier League,Crystal Palace,2000-2001,2.25
Paul Robinson,Newcastle,Premier League,MK Dons,2000-2001,2.25
John Curtis,Man Utd,Premier League,Blackburn,2000-2001,2.25
Francesc Arnau,FC Barcelona,LaLiga,Málaga CF,2000-2001,2.1
Chris Makin,Sunderland,Premier League,Ipswich,2000-2001,2.1
Frank Verlaat,AFC Ajax,Eredivisie,Werder Bremen,2000-2001,2.1
David Healy,Man Utd,Premier League,Preston NE,2000-2001,2.0
Espen Baardsen,Spurs,Premier League,Watford,2000-2001,2.0
Slavisa Jokanovic,Dep. La Coruña,LaLiga,Chelsea,2000-2001,1.9
José Amavisca,Racing,LaLiga,Dep. La Coruña,2000-2001,1.9
Robin Nelisse,Feyenoord,Eredivisie,AZ Alkmaar,2000-2001,1.8
Zinédine Zidane,Juventus,Serie A,Real Madrid,2001-2002,77.5
Gianluigi Buffon,Parma,Serie A,Juventus,2001-2002,52.88
Gaizka Mendieta,Valencia CF,LaLiga,Lazio,2001-2002,48.0
Juan Sebastián Verón,Lazio,Serie A,Man Utd,2001-2002,42.6
Rui Costa,Fiorentina,Serie A,AC Milan,2001-2002,42.0
Lilian Thuram,Parma,Serie A,Juventus,2001-2002,41.5
Pavel Nedved,Lazio,Serie A,Juventus,2001-2002,38.7
Filippo Inzaghi,Juventus,Serie A,AC Milan,2001-2002,37.0
Ruud van Nistelrooy,PSV Eindhoven,Eredivisie,Man Utd,2001-2002,28.5
Hidetoshi Nakata,AS Roma,Serie A,Parma,2001-2002,28.4
Francesco Toldo,Fiorentina,Serie A,Inter,2001-2002,26.5
Jaap Stam,Man Utd,Premier League,Lazio,2001-2002,25.75
Márcio Amoroso,Parma,Serie A,Bor. Dortmund,2001-2002,25.5
Stefano Fiore,Udinese Calcio,Serie A,Lazio,2001-2002,25.0
Marcelo Salas,Lazio,Serie A,Juventus,2001-2002,25.0
Andrea Pirlo,Inter,Serie A,AC Milan,2001-2002,18.0
Sérgio Conceição,Parma,Serie A,Inter,2001-2002,18.0
Robbie Keane,Inter,Serie A,Leeds,2001-2002,18.0
Sergio,Espanyol,LaLiga,Dep. La Coruña,2001-2002,17.9
Robbie Fowler,Liverpool,Premier League,Leeds,2001-2002,16.8
Frank Lampard,West Ham,Premier League,Chelsea,2001-2002,16.0
Javi Moreno,Alavés,LaLiga,AC Milan,2001-2002,16.0
Cristian Zenoni,AC Milan,Serie A,Juventus,2001-2002,15.5
Darko Kovacevic,Juventus,Serie A,Lazio,2001-2002,15.0
Massimo Donati,Atalanta,Serie A,AC Milan,2001-2002,15.0
Ivan Pelizzoli,Atalanta,Serie A,AS Roma,2001-2002,14.0
Andy Cole,Man Utd,Premier League,Blackburn,2001-2002,12.2
Dean Richards,Southampton,Premier League,Spurs,2001-2002,12.15
Simão,FC Barcelona,LaLiga,Benfica,2001-2002,12.0
Seth Johnson,Derby,Premier League,Leeds,2001-2002,11.5
Emmanuel Petit,FC Barcelona,LaLiga,Chelsea,2001-2002,11.5
Cristiano Zanetti,AS Roma,Serie A,Inter,2001-2002,11.0
Mario Turdó,Celta de Vigo,LaLiga,Stade Rennais,2001-2002,10.82
Marco Materazzi,Perugia,Serie A,Inter,2001-2002,10.5
Edwin van der Sar,Juventus,Serie A,Fulham,2001-2002,10.3
Gareth Southgate,Aston Villa,Premier League,Middlesbrough,2001-2002,9.75
Michael Ball,Everton,Premier League,Rangers,2001-2002,9.75
Martin Laursen,Hellas Verona,Serie A,Parma,2001-2002,9.3
Richard Wright,Ipswich,Premier League,Arsenal,2001-2002,9.0
Flavio Roma,Piacenza,Serie A,Monaco,2001-2002,8.5
Jan Vennegoor of Hesselink,FC Twente,Eredivisie,PSV Eindhoven,2001-2002,8.4
Tomás Repka,Fiorentina,Serie A,West Ham,2001-2002,8.25
Darko Kovacevic,Lazio,Serie A,Real Sociedad,2001-2002,8.0
Boudewijn Zenden,FC Barcelona,LaLiga,Chelsea,2001-2002,8.0
Giuliano Giannichedda,Udinese Calcio,Serie A,Lazio,2001-2002,7.5
Don Hutchison,Sunderland,Premier League,West Ham,2001-2002,7.5
Jerzy Dudek,Feyenoord,Eredivisie,Liverpool,2001-2002,7.4
Cosmin Contra,Alavés,LaLiga,AC Milan,2001-2002,7.0
Jesper Blomqvist,Man Utd,Premier League,Everton,2001-2002,7.0
Nelson Vivas,Arsenal,Premier League,Inter,2001-2002,7.0
Christian Ziege,Liverpool,Premier League,Spurs,2001-2002,6.5
Alex,Parma,Serie A,Cruzeiro,2001-2002,6.0
Luke Young,Spurs,Premier League,Charlton,2001-2002,6.0
Rory Delap,Derby,Premier League,Southampton,2001-2002,6.0
Antonio Guayre,UD Las Palmas,LaLiga,Villarreal CF,2001-2002,6.0
Joey Gudjónsson,RKC Waalwijk,Eredivisie,Real Betis,2001-2002,5.63
Paulo Wanchope,West Ham,Premier League,Man City,2001-2002,5.6
Didier Domi,Newcastle,Premier League,Paris SG,2001-2002,5.58
Jon Harley,Chelsea,Premier League,Fulham,2001-2002,5.25
Christian Panucci,Inter,Serie A,AS Roma,2001-2002,5.0
Sander Westerveld,Liverpool,Premier League,Real Sociedad,2001-2002,5.0
David James,Aston Villa,Premier League,West Ham,2001-2002,4.8
Shota Arveladze,AFC Ajax,Eredivisie,Rangers,2001-2002,4.5
Marcus Bent,Blackburn,Premier League,Ipswich,2001-2002,4.5
Patrick M'Boma,Parma,Serie A,Sunderland,2001-2002,4.5
Matthew Jones,Leeds,Premier League,Leicester,2001-2002,4.5
James Scowcroft,Ipswich,Premier League,Leicester,2001-2002,4.5
Finidi George,RCD Mallorca,LaLiga,Ipswich,2001-2002,4.2
Alberto Gilardino,Piacenza,Serie A,Hellas Verona,2001-2002,3.87
Sylvinho,Arsenal,Premier League,Celta de Vigo,2001-2002,3.8
John de Jong,FC Utrecht,Eredivisie,PSV Eindhoven,2001-2002,3.8
Ian Walker,Spurs,Premier League,Leicester,2001-2002,3.75
Gabriel Heinze,Real Valladolid,LaLiga,Paris SG,2001-2002,3.5
Gustavo Poyet,Chelsea,Premier League,Spurs,2001-2002,3.4
Christian Karembeu,Middlesbrough,Premier League,Olympiacos,2001-2002,3.0
Jason McAteer,Blackburn,Premier League,Sunderland,2001-2002,3.0
Jonathan Greening,Man Utd,Premier League,Middlesbrough,2001-2002,3.0
Luigi Sala,AC Milan,Serie A,Atalanta,2001-2002,2.5
Dennis Wise,Chelsea,Premier League,Leicester,2001-2002,2.4
