season,players,goals,Comb
2000,Martin Max,19,Martin Max2000
2001,Sergej Barbarez,22,Sergej Barbarez2001
2002,Márcio Amoroso,18,Márcio Amoroso2002
2003,Giovane Élber,21,Giovane Élber2003
2004,Aílton,28,Aílton2004
2005,Marek Mintál,24,Marek Mintál2005
2006,Miroslav Klose,25,Miroslav Klose2006
2007,Theofanis Gekas,20,Theofanis Gekas2007
2008,Luca Toni,24,Luca Toni2008
2009,Grafite,28,Grafite2009
2010,Edin Dzeko,22,Edin Dzeko2010
2011,Mario Gómez,28,Mario Gómez2011
2012,Klaas-Jan Huntelaar,29,Klaas-Jan Huntelaar2012
2013,Stefan Kießling,25,Stefan Kießling2013
2014,Robert Lewandowski,20,Robert Lewandowski2014
2015,Alexander Meier,19,Alexander Meier2015
2016,Robert Lewandowski,30,Robert Lewandowski2016
2017,Pierre Emerick Aubameyang,31,Pierre Emerick Aubameyang2017
2018,Robert Lewandowski,29,Robert Lewandowski2018
