season,players,goals,Comb
2000,Sonny Anderson,23,Sonny Anderson2000
2001,Sonny Anderson,22,Sonny Anderson2001
2002,Djibril Cissé,22,Djibril Cissé2002
2003,Shabani Nonda,26,Shabani Nonda2003
2004,Djibril Cissé,26,Djibril Cissé2004
2005,Alexander Frei,20,Alexander Frei2005
2006,Pauleta,21,Pauleta2006
2007,Pauleta,15,Pauleta2007
2008,Karim Benzema,20,Karim Benzema2008
2009,André-Pierre Gignac,24,André-Pierre Gignac2009
2010,Mamadou Niang,18,Mamadou Niang2010
2011,Moussa Sow,25,Moussa Sow2011
2012,Olivier Giroud,21,Olivier Giroud2012
2013,Zlatan Ibrahimovic,30,Zlatan Ibrahimovic2013
2014,Zlatan Ibrahimovic,26,Zlatan Ibrahimovic2014
2015,Alexandre Lacazette,27,Alexandre Lacazette2015
2016,Zlatan Ibrahimovic,38,Zlatan Ibrahimovic2016
2017,Edinson Cavani,35,Edinson Cavani2017
