season,players,goals,Comb
2000,Ruud van Nistelrooy,29,Ruud van Nistelrooy2000
2001,Mateja Kezman,24,Mateja Kezman2001
2002,Pierre van Hooijdonk,24,Pierre van Hooijdonk2002
2003,Mateja Kezman,35,Mateja Kezman2003
2004,Mateja Kezman,31,Mateja Kezman2004
2005,Dirk Kuijt,29,Dirk Kuijt2005
2006,Klaas-Jan Huntelaar,33,Klaas-Jan Huntelaar2006
2007,Afonso Alves,34,Afonso Alves2007
2008,Klaas-Jan Huntelaar,33,Klaas-Jan Huntelaar2008
2009,Mounir El Hamdaoui,23,Mounir El Hamdaoui2009
2010,Luis Suárez,35,Luis Suárez2010
2011,Björn Vleminckx,23,Björn Vleminckx2011
2012,Bas Dost,32,Bas Dost2012
2013,Wilfried Bony,31,Wilfried Bony2013
2014,Alfreð Finnbogason,27,Alfreð Finnbogason2014
2015,Memphis Depay,22,Memphis Depay2015
2016,Vincent Janssen,27,Vincent Janssen2016
2017,Nicolai Jørgensen,21,Nicolai Jørgensen2017
2018,Alireza Jahanbakhsh,21,Alireza Jahanbakhsh2018
