season,players,goals,Comb
2000,Sadio Mané,22,Sadio Mané2000
2001,Mohamed Salah,32,Mohamed Salah2001
2002,Harry Kane,29,Harry Kane2002
2003,Harry Kane,25,Harry Kane2003
2004,Sergio Agüero,26,Sergio Agüero2004
2005,Luis Suárez,31,Luis Suárez2005
2006,Robin van Persie,26,Robin van Persie2006
2007,Robin van Persie,30,Robin van Persie2007
2008,Dimitar Berbatov,21,Dimitar Berbatov2008
2009,Didier Drogba,29,Didier Drogba2009
2010,Nicolas Anelka,19,Nicolas Anelka2010
2011,Cristiano Ronaldo,31,Cristiano Ronaldo2011
2012,Didier Drogba,20,Didier Drogba2012
2013,Thierry Henry,27,Thierry Henry2013
2014,Thierry Henry,25,Thierry Henry2014
2015,Thierry Henry,30,Thierry Henry2015
2016,Ruud van Nistelrooy,25,Ruud van Nistelrooy2016
2017,Thierry Henry,24,Thierry Henry2017
2018,Jimmy Floyd Hasselbaink,23,Jimmy Floyd Hasselbaink2018
2019,Kevin Phillips,30,Kevin Phillips2019
