season,players,goals,Comb
2000,Salva Ballesta,27,Salva Ballesta2000
2001,Raúl González ,24,Raúl González 2001
2002,Diego Tristán,21,Diego Tristán2002
2003,Roy Makaay,29,Roy Makaay2003
2004,Ronaldo ,24,Ronaldo 2004
2005,Diego Forlán​,25,Diego Forlán​2005
2006,Samuel Eto'o,26,Samuel Eto'o2006
2007,Ruud van Nistelrooy,25,Ruud van Nistelrooy2007
2008,Dani Güiza,27,Dani Güiza2008
2009,Diego Forlán ,32,Diego Forlán 2009
2010,Lionel Messi ,34,Lionel Messi 2010
2011,Cristiano Ronaldo ,40,Cristiano Ronaldo 2011
2012,Lionel Messi ,50,Lionel Messi 2012
2013,Lionel Messi ,46,Lionel Messi 2013
2014,Cristiano Ronaldo ,31,Cristiano Ronaldo 2014
2015,Cristiano Ronaldo ,48,Cristiano Ronaldo 2015
2016,Luis Suárez,40,Luis Suárez2016
2017,Lionel Messi ,37,Lionel Messi 2017
2018,Lionel Messi ,34,Lionel Messi 2018
2019,Lionel Messi ,36,Lionel Messi 2019
